2	Interagency Mutual Aid 1  
3	Statewide Tac  
4	System Technicians 4  
6	Statewide Tactical 1  
7	Site Trunking Talkgroup  
8	Statewide Tactical 2  
9	NWS Chanhassen  
11	Law Enforcement Tactical 11  
12	Dept. Of Administration  
13	Law Enforcement Tactical 13  
22	Metro Tactical 5 (A TAC 1)  
24	Metro Tactical 6 (A TAC 2)  
26	Metro Tactical 7 (A TAC 3)  
28	Metro Tactical 8 (A TAC 4)  
30	State Fire Tac  
32	Metro Tactical 1 (P TAC 1)  
34	Metro Tactical 2 (P TAC 2)  
36	Metro Tactical 3 (P TAC 3)  
38	Metro Tactical 4 (P TAC 4)  
39	Helicopter Communication Centers Common  
40	System Technicians 40  
44	Statewide Communications Leader  
46	Statewide Emergency Management Talkgroup  
48	Metcom  
50	West Metro Emergency All Call  
52	East Metro Emergency All Call  
54	"West Metro ""2500"" Dispatch  "
55	"West Metro ""2500"" Roaming  "
56	"West Metro ""2500"" Tac 3  "
58	"West Metro ""2500"" Tac 1  "
60	"West Metro ""2500"" Tac 2  "
62	West Metro 2510 Station  
64	West Metro 2520 Station  
66	West Metro 2540 Station  
68	Metro 4550 Station  
70	Metro 4560 Station  
72	Metro 4570 Station 1  
73	Metro 4570 Station 2  
74	"East Metro ""2400"" Dispatch  "
75	"East Metro ""2400"" Roaming  "
76	"East Metro ""2400"" Tac 3  "
78	"East Metro ""2400"" Tac 1  "
80	"East Metro ""2400"" Tac 2  "
82	East Metro 2410 Station  
84	East Metro 2430 Station  
86	East Metro 2440 Station  
88	Metro 4450 Station  
90	Metro 4460 Station  
91	Metro 4470 Station - Nights  
92	Metro Commercial Vehicle Inspection  
93	Dept. Of Administration - Technitions  
94	Supervisors  
96	Flight Section  
98	Capitol Security Main  
100	Governor's Protection Force  
102	Capitol Security Car-to-Car  
104	All Call Multigroup  
106	Main  
108	Tactical 1  
110	Tactical 2  
112	Tactical 3  
114	Tactical 4  
116	Tactical 5  
118	Tactical 6  
120	Tactical 7  
122	Alcohol & Gambling Enforcement Tactical 1  
124	Alcohol & Gambling Enforcement Tactical 2  
126	State Fire Marshal Main  
